Area,CancerType,Year,Sex,Race,AgeAdjustedRate,CaseCount,Population
'Nevada','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','273.6','964','304177'
'Idaho','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','285.2','82','34724'
'Wyoming','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','292.9','16','7284'
'Colorado','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','262.8','485','225176'
'Georgia','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','277.8','1101','474761'
'Montana','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','250.6','23','11699'
'Texas','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','249.7','3273','1551562'
'Utah','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','293.8','256','126758'
'California','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','284.2','20591','6502647'
'Alaska','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','269.7','141','63619'
'Oregon','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','287.7','579','238513'
'Virginia','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','224.5','1262','627334'
'West Virginia','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','145.7','25','17361'
'Rhode Island','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','263.5','81','42490'
'Maryland','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','272.6','1191','431725'
'Washington','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','308.3','2210','791634'
'New Mexico','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','324.3','140','44536'
'Kansas','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','Data Suppressed','Data Suppressed','100417'
'District of Columbia','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','260.5','59','33797'
'Missouri','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','237.1','272','148083'
'Mississippi','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','342.3','104','36178'
'Delaware','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','Data Suppressed','Data Suppressed','41396'
'Tennessee','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','214.3','255','140778'
'Nebraska','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','297.3','94','55885'
'Minnesota','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','294.4','565','299637'
'Oklahoma','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','318.5','255','107048'
'Arkansas','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','342.3','146','63797'
'Iowa','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','279.9','143','89995'
'Florida','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','217.3','1580','695899'
'Wisconsin','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','245.2','271','183940'
'North Carolina','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','228.2','594','347745'
'South Dakota','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','334.5','28','15723'
'Pennsylvania','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','275.4','1127','490594'
'Hawaii','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','393.7','4913','1013854'
'Kentucky','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','Data Suppressed','Data Suppressed','79459'
'Alabama','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','254.4','167','82774'
'Maine','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','235.2','37','18263'
'South Carolina','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','239.2','195','98477'
'Louisiana','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','256','219','93299'
'Vermont','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','205.8','19','12741'
'Arizona','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','212.3','559','300345'
'Ohio','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','226.7','543','303266'
'North Dakota','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','359.9','19','14061'
'New Jersey','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','281.6','2513','908785'
'New Hampshire','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','187.1','60','42804'
'New York','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','348.6','6559','1824020'
'Illinois','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','271.5','2038','777339'
'Indiana','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','195.4','224','173718'
'Massachusetts','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','279.9','1144','503349'
'Michigan','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','240.5','675','354173'
'Connecticut','All Types of Cancer','2017','Male and Female','Asian/Pacific Islander','230.7','356','182968'
